date,local_time,latitude,longitude,location,magnitude_ml,epicentre
2015-06-01,04:35:00,27.98,85.51,POINT(85.51 27.98),4,Sindhupalchowk
2015-05-31,13:54:00,28.29,84.46,POINT(84.46 28.29),4.2,Lamjung
2015-05-28,22:16:00,27.94,85.54,POINT(85.54 27.94),4,Sindhupalchowk
2015-05-12,19:42:00,27.84,86.23,POINT(86.23 27.84),4.4,Dolakha
2015-05-12,19:28:00,27.78,85.85,POINT(85.85 27.78),4.3,Sindhupalchok
2015-05-12,18:53:00,27.72,85.97,POINT(85.97 27.72),4,Dolakha/Sindhupalchok
2015-05-12,18:47:00,27.89,85.88,POINT(85.88 27.89),4.4,Sindhupalchok
2015-05-12,18:13:00,27.7,86.04,POINT(86.04 27.7),4.7,Dolakha
2015-05-12,17:43:00,27.71,86,POINT(86 27.71),4.3,Dolakha
2015-05-12,17:06:00,27.72,86.2,POINT(86.2 27.72),4.6,Dolakha
2015-05-12,16:51:00,27.62,86.16,POINT(86.16 27.62),4.7,Dolakha
2015-05-12,16:26:00,27.76,86.24,POINT(86.24 27.76),4.4,Dolakha/Ramechhap
2015-05-12,16:20:00,27.73,86.11,POINT(86.11 27.73),5,Dolakha
2015-05-28,12:14:00,27.59,86.16,POINT(86.16 27.59),4.1,Dolakha
2015-05-12,16:16:00,27.69,86.05,POINT(86.05 27.69),4.2,Dolakha
2015-05-12,16:00:00,27.57,86.29,POINT(86.29 27.57),4.8,Dolakha/Ramechhap
2015-05-12,15:49:00,27.68,86.03,POINT(86.03 27.68),4.4,Dolakha
2015-05-12,15:29:00,27.8,85.95,POINT(85.95 27.8),4.2,Sindhupalchok
2015-05-12,15:14:00,27.7,86.01,POINT(86.01 27.7),4.2,Dolakha
2015-05-12,14:47:00,27.8,86.12,POINT(86.12 27.8),4.7,Dolakha
2015-05-12,14:44:00,27.76,86.31,POINT(86.31 27.76),5.3,Dolakha
2015-05-12,14:24:00,27.69,86.21,POINT(86.21 27.69),4.7,Dolakha
2015-05-12,14:20:00,27.68,86.23,POINT(86.23 27.68),4.7,Dolakha
2015-05-12,14:19:00,27.88,85.94,POINT(85.94 27.88),4.8,Sindhupalchok
2015-05-28,11:36:00,27.59,86.19,POINT(86.19 27.59),4.2,Dolakha
2015-05-12,14:09:00,27.79,86.11,POINT(86.11 27.79),5,Dolakha
2015-05-12,14:06:00,27.66,86.17,POINT(86.17 27.66),5.2,Dolakha
2015-05-12,13:58:00,27.8,85.83,POINT(85.83 27.8),5.3,Sindhupalchok
2015-05-12,13:51:00,27.8,85.94,POINT(85.94 27.8),5.1,Sindhupalchok
2015-05-12,13:46:00,27.68,86.04,POINT(86.04 27.68),4.3,Dolakha
2015-05-12,13:33:00,27.63,86.17,POINT(86.17 27.63),4.8,Dolakha
2015-05-12,13:28:00,27.69,86.24,POINT(86.24 27.69),5,Dolakha
2015-05-12,13:21:00,27.73,86.21,POINT(86.21 27.73),6.2,Dolakha
2015-05-12,13:02:00,27.84,86.17,POINT(86.17 27.84),5.8,Dolakha
2015-05-12,12:50:00,27.82,86.12,POINT(86.12 27.82),6.8,Dolakha/Shindhupalchok
2015-05-28,05:29:00,27.77,86.25,POINT(86.25 27.77),4.2,Dolakha
2015-05-12,02:08:00,28.16,84.9,POINT(84.9 28.16),4.1,Gorkha/Dhading
2015-05-12,00:07:00,28.1,84.91,POINT(84.91 28.1),4,Dhading
2015-05-11,23:54:00,27.91,85.75,POINT(85.75 27.91),4,Sindhupalchowk
2015-05-11,20:35:00,27.99,85.86,POINT(85.86 27.99),4.2,Sindhupalchowk
2015-05-10,15:23:00,27.65,85.56,POINT(85.56 27.65),4.2,kavre
2015-05-10,11:08:00,28.02,85.25,POINT(85.25 28.02),4,Rasuwa
2015-05-10,06:34:00,27.88,86,POINT(86 27.88),4.4,Sindhupalchowk
2015-05-10,02:44:00,26.94,86.67,POINT(86.67 26.94),4,Udayapur
2015-05-10,01:50:00,28.04,85.96,POINT(85.96 28.04),4.2,Sindhupalchowk/Tibet
2015-05-09,03:08:00,28.04,85.2,POINT(85.2 28.04),4.1,Rasuwa
2015-05-28,05:12:00,27.64,85.31,POINT(85.31 27.64),4,Kathmandu
2015-05-08,15:05:00,28.01,85.41,POINT(85.41 28.01),4.2,Rasuwa/Nuwakot
2015-05-08,13:32:00,27.77,85.88,POINT(85.88 27.77),4.8,Sindhupalchowk
2015-05-08,08:19:00,27.75,28.91,POINT(28.91 27.75),4.2,Sindhupalchowk
2015-05-08,06:17:00,27.69,86.04,POINT(86.04 27.69),5,Dolakha/Sindhupalchok
2015-05-08,02:19:00,27.94,85.58,POINT(85.58 27.94),4,Sindhupalchowk
2015-05-07,22:15:00,27.92,85.46,POINT(85.46 27.92),4,Nuwakot
2015-05-07,07:56:00,27.79,85.16,POINT(85.16 27.79),4,Nuwakot
2015-05-07,03:41:00,27.75,85.19,POINT(85.19 27.75),4.2,Nuwakot
2015-05-06,22:19:00,28.04,85.26,POINT(85.26 28.04),4,Rasuwa
2015-05-06,18:02:00,28.01,84.68,POINT(84.68 28.01),4.2,Gorkha
2015-05-28,03:40:00,27.95,84.8,POINT(84.8 27.95),4,Gorkha/Dhading
2015-05-05,17:00:00,27.96,86,POINT(86 27.96),4.2,Sindhupalchowk
2015-05-05,16:23:00,27.74,86.03,POINT(86.03 27.74),4.3,Sindhupalchowk/Dolakha
2015-05-05,06:39:00,28.06,85.05,POINT(85.05 28.06),4,Dhading /Nuwakot
2015-05-04,18:02:00,27.74,86,POINT(86 27.74),4.2,Sindhupalchowk/Dolakha
2015-05-04,15:40:00,27.95,85.86,POINT(85.86 27.95),4.4,Sindhupalchowk
2015-05-04,14:34:00,27.79,86.23,POINT(86.23 27.79),4.7,Dolakha
2015-05-04,13:17:00,28.12,84.8,POINT(84.8 28.12),4,Gorkha
2015-05-04,10:36:00,27.8,85.16,POINT(85.16 27.8),4.1,Nuwakot
2015-05-04,10:33:00,27.79,85.16,POINT(85.16 27.79),4,Nuwakot
2015-05-04,09:54:00,27.97,85.21,POINT(85.21 27.97),4.2,Nuwakot/Rasuwa
2015-05-28,03:07:00,27.99,84.79,POINT(84.79 27.99),4,Gorkha/Dhading
2015-05-04,07:00:00,27.69,85.99,POINT(85.99 27.69),4.3,Dolakha
2015-05-04,04:59:00,27.75,85.87,POINT(85.87 27.75),4.2,Sindhupalchowk
2015-05-03,22:39:00,28.05,84.94,POINT(84.94 28.05),4,Dhading
2015-05-03,20:27:00,28.09,85.72,POINT(85.72 28.09),4.2,Sindhupalchowk
2015-05-03,18:58:00,27.89,85.73,POINT(85.73 27.89),4,Sindhupalchowk
2015-05-03,17:20:00,27.8,85.11,POINT(85.11 27.8),4.9,Nuwakot
