id:INTEGER,publisher,genres,coop,name,timestamp:INTEGER,system,releaseDate,players,reviewRating,esrbRating,developer
1,Activision,Shooter,No,007 Legends,1350345600,Microsoft Xbox 360,10/16/12,4,0 / 10,Teen,Eurocom Entertainment Software
2,Activision,"Action, Shooter",No,007 Quantum of Solace,1225756800,Microsoft Xbox 360,11/4/08,1,10-Jul,Teen,Treyarch
3,null,null,No,11 Eyes CrossOver,1238630400,Microsoft Xbox 360,4/2/09,null,0 / 10,null,null
4,Electronic Arts,Sports,Yes,2006 FIFA World Cup,1145836800,Microsoft Xbox 360,4/24/06,4,0 / 10,Everyone,Electronic Arts Canada
5,null,Sports,No,2010 FIFA World Cup South Africa,1272585600,Microsoft Xbox 360,4/30/10,null,0 / 10,Everyone,null
6,Take-Two Interactive,Sports,No,2K Sports Combo Pack MLB 2K12NBA 2K12,1330992000,Microsoft Xbox 360,3/6/12,2,0 / 10,Everyone,Visual Concepts
7,THQ,"Action, Shooter",No,50 Cent Blood on the Sand,1235433600,Microsoft Xbox 360,2/24/09,null,0 / 10,Mature,Swordfish Studios Limited
8,null,"Construction and Management Simulation, Life Simulation, Sandbox",No,A Kingdom for Keflings,1252713600,Microsoft Xbox 360,9/12/09,1,0 / 10,null,NinjaBee
9,null,Life Simulation,No,A World of Keflings,1292976000,Microsoft Xbox 360,12/22/10,null,0 / 10,Everyone 10+,Ninjabee
10,MTV Games,Music,Yes,ACDC Live Rock Band,1225670400,Microsoft Xbox 360,11/3/08,4,0 / 10,Teen,Harmonix
11,Namco Bandai,Flight Simulator,No,Ace Combat 6 Fires of Liberation,1193097600,Microsoft Xbox 360,10/23/07,1,10-Mar,Teen,Namco
12,Namco Bandai Games,"Action, Flight Simulator",No,Ace Combat Assault Horizon,1318291200,Microsoft Xbox 360,10/11/11,null,0 / 10,Teen,Project Aces
13,null,null,No,Adidas miCoach,1374624000,Microsoft Xbox 360,7/24/13,null,0 / 10,Everyone,null
14,Konami,"Racing, Sports",No,Adrenalin Misfits,1288828800,Microsoft Xbox 360,11/4/10,2,0 / 10,Everyone,Konami
