N-NUMBER,AIRLINE,MANUFACTURER,MODEL,SEATS
61940,SOUTHWEST AIRLINES INC,CESSNA,172M,4
4460C,CONTINENTAL AIRLINES INC,CAMERON BALLOONS US,N-105,6
8791Q,SOUTHWEST AIRLINES INC,CESSNA,TU206G,6
8878,DELTA AIR LINES INC,CURTISS WRIGHT,TRAVEL AIR 6-B,6
131EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
132EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
133EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
135EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
136EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
137EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
138EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
601LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
602LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
604LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
605LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
606LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
607LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
901XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
902XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
903XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
904XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
905XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
906XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
907XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
908XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
909XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
910XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
912XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
913XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
914XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
915XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
916XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
917XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
918XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
919XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
920XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
921XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
922XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
923XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
924XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
925XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
926XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
927XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
928XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
929XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
930XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
931XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
932XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
933XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
934XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
935XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
936XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
937XJ,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
28341,DELTA AIR LINES INC,DOUGLAS,DC3-G202A,32
13975,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
13978,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
